game_id,team,starter_id,starter_name
ANA199708260,LAA,sprid001,Dennis Springer
ANA199708270,CLE,wrigj002,Jaret Wright
ANA199708270,LAA,watsa001,Allen Watson
ANA199709010,COL,thomj005,John Thomson
ANA199709010,LAA,watsa001,Allen Watson
ANA199709020,COL,astap001,Pedro Astacio
ANA199709020,LAA,dickj001,Jason Dickson
ANA199709110,KC,appik001,Kevin Appier
ANA199709110,LAA,sprid001,Dennis Springer
ANA199709120,KC,rosaj001,Jose Rosado
ANA199709120,LAA,watsa001,Allen Watson
ANA199709130,KC,pittj002,Jim Pittsley
ANA199709130,LAA,dickj001,Jason Dickson
ANA199709140,KC,belct001,Tim Belcher
ANA199709140,LAA,hillk001,Ken Hill
ANA199709150,LAA,sprid001,Dennis Springer
ANA199709150,MIN,hawkl001,LaTroy Hawkins
ANA199709160,LAA,hases001,Shigetoshi Hasegawa
ANA199709160,MIN,radkb001,Brad Radke
ANA199709170,ATH,ludwe001,Eric Ludwick
ANA199709170,LAA,watsa001,Allen Watson
ANA199709180,ATH,telgd001,Dave Telgheder
ANA199709180,LAA,dickj001,Jason Dickson
ANA199709250,LAA,dickj001,Jason Dickson
ANA199709250,TEX,wittb001,Bobby Witt
ANA199709260,LAA,sprid001,Dennis Springer
ANA199709260,TEX,hellr001,Rick Helling
ANA199709270,LAA,hases001,Shigetoshi Hasegawa
ANA199709270,TEX,pavlr001,Roger Pavlik
ANA199709280,LAA,watsa001,Allen Watson
ANA199709280,TEX,burkj001,John Burkett
ANA199804010,LAA,finlc001,Chuck Finley
ANA199804010,NYY,petta001,Andy Pettitte
ANA199804020,LAA,hillk001,Ken Hill
ANA199804020,NYY,welld001,David Wells
ANA199804030,CLE,burbd001,Dave Burba
ANA199804030,LAA,mcdoj001,Jack McDowell
ANA199804040,CLE,colob001,Bartolo Colon
ANA199804040,LAA,watsa001,Allen Watson
ANA199804050,CLE,nagyc001,Charles Nagy
ANA199804050,LAA,dickj001,Jason Dickson
ANA199804060,BOS,martp001,Pedro Martinez
ANA199804060,LAA,finlc001,Chuck Finley
ANA199804070,BOS,waket001,Tim Wakefield
ANA199804070,LAA,hillk001,Ken Hill
ANA199804080,BOS,lowed001,Derek Lowe
ANA199804080,LAA,mcdoj001,Jack McDowell
ANA199804160,LAA,mcdoj001,Jack McDowell
ANA199804160,TB,saunt001,Tony Saunders
ANA199804170,LAA,finlc001,Chuck Finley
